,feature,relative_score,score
0,articleID,0.0,0.0
1,colorCode,0.0211033273393952,53.22830000000001
2,sizeCode,0.008616680883354896,21.7336
3,productGroup,0.017239150202169033,43.4818
4,quantity,0.008612399026987787,21.722800000000003
5,price,0.021092979519841355,53.202200000000026
6,rrp,0.02050489826527329,51.718900000000005
7,voucherID,0.0023724259551067177,5.9839
8,voucherAmount,0.016930023960554586,42.70210000000001
9,deviceID,0.017532853831498243,44.2226
10,paymentMethod,0.022279093380349176,56.19390000000001
11,t_wsv,0.003860569276768688,9.7374
12,t_ssv,0.019902940624330335,50.200599999999994
13,t_isChristmas,0.019314581842034783,48.7166
14,t_singleItemPrice,0.0002963996129677605,0.7475999999999999
15,t_singleItemPrice_diff_rrp,0.004160576750193921,10.494099999999998
16,t_isGift,0.008022454371963673,20.234800000000003
17,t_sizeCodeNumerized,0.004156572421554309,10.483999999999998
18,t_unisize,0.007722010783538086,19.477000000000004
19,t_isTypePants,0.011884728461915562,29.9765
20,t_isTypeBelt,0.008909472635865185,22.4721
21,t_isTypeTop,0.02049851512754084,51.70280000000001
22,t_reducedPaymentMethod_A,0.013077859809247262,32.9859
23,t_paymentWithFee_A,0.01574981747596064,39.7253
24,t_isWeekend_A,0.015746725024139954,39.7175
25,t_isOneSize_A,0.013667645876998522,34.47350000000001
26,t_customer_boughtArticleCount,0.01396095303814559,35.213300000000004
27,t_customer_orderCount,0.0038551376626733726,9.723700000000001
28,t_customer_voucherCount,0.020793764982780395,52.447500000000005
29,t_order_boughtArticleTypeCount,0.006235096513240747,15.726599999999998
30,t_order_boughtArticleCount,0.016631404125766837,41.948899999999995
31,t_order_duplicateCount,0.01010026482092226,25.475600000000004
32,t_order_sameArticlesCount,0.014259216051569407,35.9656
33,t_order_totalPrice,0.0017773272137147852,4.482899999999999
34,t_order_meanPrice,0.01217672727806157,30.713000000000005
35,t_order_cheapestPrice,0.02109008530211173,53.19490000000001
36,t_order_mostExpensivePrice,0.009504729964529973,23.973500000000005
37,t_order_totalPrice_diff_voucherAmount,0.008616006887445259,21.7319
38,t_order_priceStd_A,0.0056418215254866585,14.2302
39,t_order_hasVoucher_A,0.02049899088935941,51.704000000000015
40,t_order_sameArticlesCount_DiffSize,0.006245047864612457,15.751699999999998
41,t_order_sameArticlesCount_DiffColor,0.0014848129889319956,3.7451
42,t_article_boughtCountGlobal,0.002970379267410057,7.4921
43,t_article_availableSizes,0.02139108394599231,53.95410000000001
44,t_article_availableColors,0.010395475029343602,26.220200000000006
45,t_article_priceChangeSTD_A,0.01069365874913099,26.9723
46,t_order_article_sameArticlesCount,0.017833773181742396,44.98159999999999
47,t_order_article_sameArticlesCount_DiffSize,0.02109666667393525,53.211500000000015
48,t_order_article_sameArticlesCount_DiffColor,0.011591024832586354,29.235700000000005
49,t_voucher_is10PercentVoucher,0.02317281195652885,58.44810000000001
50,t_voucher_is15PercentVoucher,0.02079626273232788,52.453800000000015
51,t_voucher_isGiftVoucher,0.019318665464310825,48.72690000000001
52,t_voucher_isValueVoucher,0.0038655647758636504,9.75
53,t_unisizeOffset,0.01842110114676439,46.46300000000001
54,productPrice,0.022578426857864767,56.94890000000001
55,totalSavings,0.0124806994333082,31.479699999999998
56,relativeSavings,0.0044540424986138465,11.2343
57,orderYear,0.002074242235319328,5.2318
58,orderMonth,0.017824059711279972,44.9571
59,orderDay,0.016635289513951813,41.95870000000001
60,orderWeekDay,0.015456906782995715,38.9865
61,orderDayOfYear,0.005344391095245335,13.48
62,orderWeek,0.017526787868311505,44.207300000000004
63,orderWeekOfYear,0.010094040270462663,25.4599
64,orderQuarter,0.018125454823342695,45.7173
65,orderTotalDay,0.0124770122792143,31.470399999999998
66,orderSeason,0.013667011527907095,34.4719
67,orderIsOnGermanHoliday,0.0059407585348201135,14.984199999999998
68,colorReturnProb,0.02168581839259508,54.697500000000005
69,sizeReturnProb,0.010989701540734823,27.718999999999998
70,customerReturnProb,0.023765888710191866,59.94400000000001
71,productGroupReturnProb,0.021387674319625904,53.9455
72,surplusArticleQuantity,0.007428505388299946,18.736700000000003
73,surplusArticleSizeQuantity,0.00802312836787331,20.236500000000003
74,surplusArticleColorQuantity,0.005937348908453711,14.975599999999998
75,totalOrderShare,0.022285080049899486,56.20900000000001
76,voucherSavings,0.021987411738748873,55.458200000000005
77,customerAvgUnisize,0.004157761826100728,10.486999999999998
